purpose,injuries,phase,year
Personal,2,,2013
EXLD,2,,2013
Aerial Application,1,,2013
Personal,2,,2013
Personal,2,,2013
Business,1,,2013
Aerial Observation,2,,2013
,2,,2013
Personal,2,,2013
Positioning,1,,2013
Personal,2,,2013
Personal,1,,2013
Personal,2,,2013
Personal,2,,2013
Other Work Use,2,,2013
Business,1,,2013
Instructional,1,,2013
Personal,2,,2013
Instructional,1,,2013
Personal,3,,2013
Personal,1,,2013
Personal,1,,2013
Personal,2,,2013
Personal,1,,2013
Flight Test,1,,2013
Personal,1,,2013
Personal,1,,2013
Personal,1,,2013
Personal,2,,2013
EXLD,1,,2013
Personal,1,,2013
Personal,2,,2013
Personal,1,,2013
Personal,2,,2013
Personal,1,,2013
Personal,1,,2013
Personal,4,,2013
Personal,4,,2013
EXLD,1,,2013
,1,,2013
Personal,2,,2013
Personal,4,,2013
Personal,1,,2013
Personal,1,,2013
Business,2,,2013
Business,1,,2013
Air Race show,1,,2013
Personal,2,,2013
Personal,1,,2013
Positioning,3,,2013
Personal,2,,2013
Personal,1,,2013
Personal,1,,2013
Personal,1,,2013
Personal,1,,2013
Personal,2,,2013
Personal,3,,2013
Instructional,2,,2013
,3,,2013
Personal,1,,2013
Personal,3,,2013
Personal,2,,2013
Personal,1,,2013
Personal,1,,2013
Instructional,2,,2013
Personal,1,,2013
Positioning,4,,2013
Personal,1,,2013
Personal,1,,2013
Instructional,1,,2013
,4,,2013
Personal,1,,2013
Personal,5,,2013
Personal,1,,2013
,2,,2013
Positioning,1,,2013
Personal,2,,2013
Personal,3,,2013
,1,,2013
Business,3,,2013
Personal,2,,2013
Business,1,,2013
Personal,1,,2013
Personal,2,,2013
Personal,2,,2013
Personal,1,,2014
Executive/corporate,1,,2014
Personal,2,,2014
Positioning,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,1,,2014
,3,,2014
Public Aircraft - State,1,,2014
Personal,4,,2014
Personal,1,,2014
Personal,2,,2014
,2,,2014
Personal,1,,2014
Instructional,3,,2014
Personal,1,,2014
Instructional,1,,2014
Personal,1,,2014
Instructional,3,,2014
Personal,1,,2014
Personal,1,,2014
,3,,2014
Personal,1,,2014
Personal,1,,2014
Personal,3,,2014
Personal,1,,2014
Personal,1,,2014
Instructional,2,,2014
Positioning,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,5,,2014
Personal,2,,2014
Personal,1,,2014
Instructional,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,2,,2014
Personal,2,,2014
Personal,1,,2014
Instructional,2,,2014
Personal,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,2,,2014
Aerial Application,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,4,,2014
Personal,1,,2014
Air Race show,1,,2014
Personal,2,,2014
Instructional,2,,2014
Personal,3,,2014
Personal,1,,2014
Aerial Observation,1,,2014
Personal,1,,2014
Other Work Use,1,,2014
Positioning,1,,2014
Personal,4,,2014
Personal,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,3,,2014
Personal,1,,2014
Aerial Application,1,,2014
EXLD,1,,2014
Aerial Application,1,,2014
Personal,2,,2014
Personal,2,,2014
Executive/corporate,7,,2014
Air Race show,1,,2014
Personal,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,2,,2014
Ferry,1,,2014
Personal,2,,2014
Personal,2,,2014
Personal,2,,2014
Instructional,2,,2014
Personal,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,2,,2014
Business,1,,2014
Positioning,1,,2014
Personal,1,,2014
Other Work Use,3,,2014
Personal,3,,2014
Personal,1,,2014
Personal,2,,2014
Personal,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,3,,2014
Aerial Application,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Instructional,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,3,,2014
Personal,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,1,,2014
Positioning,3,,2014
Positioning,1,,2014
Personal,3,,2014
Personal,1,,2014
Personal,4,,2014
Instructional,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,2,,2014
Aerial Application,1,,2014
Personal,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Aerial Application,1,,2014
Personal,1,,2014
BANT,2,,2014
Personal,2,,2014
Personal,2,,2014
Instructional,2,,2014
Personal,2,,2014
Aerial Application,1,,2014
Personal,1,,2014
Personal,1,,2014
Aerial Application,1,,2014
Instructional,2,,2014
Personal,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,3,,2014
Personal,1,,2014
Personal,1,,2014
Aerial Observation,2,,2014
Aerial Application,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,4,,2014
Personal,1,,2014
Aerial Application,1,,2014
,4,,2014
Personal,1,,2014
Personal,5,,2014
Personal,2,,2014
BANT,1,,2014
Personal,2,,2014
Personal,1,,2014
Business,1,,2014
Personal,1,,2014
Aerial Application,1,,2014
Personal,2,,2014
Air Race show,1,,2014
Instructional,2,,2014
Personal,1,,2014
Personal,2,,2014
Personal,2,,2014
Personal,1,,2014
Personal,2,,2014
Personal,1,,2014
Personal,2,,2014
Personal,2,,2014
Personal,2,,2014
Personal,2,,2014
Instructional,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
,3,,2014
Personal,2,,2014
Public Aircraft - Federal,1,,2014
Personal,2,,2014
Personal,3,,2014
Personal,1,,2014
Instructional,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Instructional,1,,2014
Personal,3,,2014
Instructional,2,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Public Aircraft - Federal,1,,2014
Ferry,1,,2014
,1,,2014
Personal,3,,2014
Instructional,1,,2014
Personal,2,,2014
Personal,1,,2014
Instructional,2,,2014
Personal,2,,2014
,1,,2014
Personal,1,,2014
Positioning,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Aerial Application,1,,2014
Personal,1,,2014
Personal,2,,2014
Personal,3,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Personal,1,,2014
Aerial Observation,1,,2014
Personal,2,,2014
Business,1,,2014
Instructional,1,,2014
Personal,1,,2014
Positioning,1,,2014
Personal,2,,2014
Positioning,2,,2015
Personal,4,,2015
Personal,1,,2015
Personal,1,,2015
Instructional,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Air Race show,2,,2015
Instructional,1,,2015
Personal,1,,2015
Personal,2,,2015
Instructional,2,,2015
Personal,1,,2015
Personal,1,,2015
Instructional,2,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Positioning,4,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,2,,2015
Personal,3,,2015
Personal,1,,2015
Positioning,1,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
,1,,2015
Personal,1,,2015
Aerial Observation,1,,2015
Personal,3,,2015
Personal,1,,2015
Personal,2,,2015
Instructional,1,,2015
Personal,2,,2015
Aerial Application,2,,2015
Personal,2,,2015
Flight Test,1,,2015
Instructional,1,,2015
Personal,1,,2015
Personal,1,,2015
Positioning,1,,2015
Personal,7,,2015
Personal,4,,2015
GLDT,1,,2015
Personal,1,,2015
Personal,4,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Public Aircraft - Local,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Aerial Application,1,,2015
Flight Test,2,,2015
Personal,4,,2015
Personal,1,,2015
Business,1,,2015
Personal,4,,2015
Personal,3,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Aerial Application,1,,2015
Personal,3,,2015
Flight Test,1,,2015
Personal,1,,2015
Aerial Application,1,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Instructional,1,,2015
Personal,1,,2015
Public Aircraft - Federal,2,,2015
Aerial Application,1,,2015
Instructional,1,,2015
Personal,4,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Aerial Application,1,,2015
Personal,1,,2015
Personal,1,,2015
,9,,2015
Personal,1,,2015
Air Race show,1,,2015
Personal,1,,2015
Personal,3,,2015
Personal,2,,2015
Personal,2,,2015
Instructional,2,,2015
Personal,1,,2015
,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,2,,2015
Personal,2,,2015
Personal,2,,2015
Personal,2,,2015
Instructional,2,,2015
,1,,2015
Personal,4,,2015
Personal,1,,2015
Personal,2,,2015
Instructional,1,,2015
Personal,2,,2015
Personal,2,,2015
Personal,1,,2015
Personal,2,,2015
Personal,1,,2015
Personal,4,,2015
Personal,3,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Aerial Application,1,,2015
Personal,4,,2015
Personal,1,,2015
Business,2,,2015
Personal,2,,2015
BANT,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,2,,2015
Personal,2,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Positioning,1,,2015
Personal,5,,2015
,1,,2015
Instructional,2,,2015
Aerial Application,1,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,2,,2015
Personal,1,,2015
Aerial Application,1,,2015
Business,1,,2015
GLDT,1,,2015
Personal,1,,2015
Personal,1,,2015
Air Race show,1,,2015
Personal,2,,2015
Personal,2,,2015
Personal,1,,2015
Instructional,2,,2015
Personal,1,,2015
Personal,4,,2015
Personal,1,,2015
Personal,2,,2015
Personal,3,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Air Race show,1,,2015
Other Work Use,3,,2015
Personal,5,,2015
Personal,1,,2015
Personal,2,,2015
Personal,2,,2015
Personal,1,,2015
Personal,2,,2015
Personal,1,,2015
Skydiving,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,4,,2015
Personal,1,,2015
Business,2,,2015
Personal,1,,2015
Personal,3,,2015
Instructional,1,,2015
Personal,1,,2015
Personal,2,,2015
Personal,1,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Business,2,,2015
Personal,1,,2015
Personal,2,,2015
Personal,2,,2015
Personal,1,,2015
Personal,1,,2015
Business,1,,2015
Business,3,,2015
Personal,4,,2015
Personal,1,,2015
Personal,3,,2015
Personal,1,,2015
Personal,2,,2015
Personal,2,,2015
,9,,2015
Personal,1,,2015
Personal,3,,2015
Personal,2,,2015
Personal,2,,2015
Personal,2,,2015
Personal,2,,2015
Personal,1,,2015
Personal,2,,2015
Personal,2,,2015
Personal,2,,2015
Personal,1,,2015
,4,,2015
Personal,3,,2015
Personal,1,,2015
,2,,2015
Personal,2,,2015
Personal,5,,2015
Personal,1,,2015
Personal,1,,2015
Personal,1,,2015
Personal,2,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,2,,2016
Positioning,1,,2016
Personal,2,,2016
Personal,3,,2016
Instructional,1,,2016
Personal,1,,2016
Positioning,2,,2016
Personal,3,,2016
Personal,2,,2016
Public Aircraft - Local,2,,2016
Personal,2,,2016
Personal,1,,2016
Aerial Observation,1,,2016
Business,1,,2016
Instructional,1,,2016
Personal,4,,2016
Personal,2,,2016
Personal,2,,2016
Personal,2,,2016
Personal,2,,2016
Personal,4,,2016
Personal,2,,2016
Personal,1,,2016
Instructional,1,,2016
Personal,2,,2016
Personal,1,,2016
Instructional,1,,2016
,4,,2016
Personal,1,,2016
Aerial Observation,5,,2016
Instructional,1,,2016
,3,,2016
Personal,1,,2016
Instructional,2,,2016
Personal,2,,2016
Aerial Application,1,,2016
Personal,2,,2016
Public Aircraft - Local,2,,2016
Other Work Use,4,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Instructional,2,,2016
Personal,3,,2016
EXLD,1,,2016
Instructional,1,,2016
Personal,1,,2016
Instructional,1,,2016
Other Work Use,1,,2016
Air Race show,1,,2016
Aerial Application,1,,2016
Personal,1,,2016
Personal,4,,2016
Personal,1,,2016
Business,2,,2016
Personal,1,,2016
Personal,1,,2016
Skydiving,5,,2016
Instructional,2,,2016
Aerial Observation,1,,2016
Personal,2,,2016
Instructional,2,,2016
Personal,1,,2016
Personal,1,,2016
Aerial Application,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,3,,2016
Personal,3,,2016
Instructional,1,,2016
Aerial Application,1,,2016
Instructional,2,,2016
Personal,3,,2016
Personal,1,,2016
Personal,2,,2016
Aerial Observation,3,,2016
,2,,2016
Personal,1,,2016
Personal,1,,2016
Positioning,2,,2016
Personal,1,,2016
Personal,2,,2016
Personal,1,,2016
Personal,1,,2016
Personal,3,,2016
Flight Test,2,,2016
Aerial Application,1,,2016
Personal,4,,2016
Personal,1,,2016
Public Aircraft - State,1,,2016
Business,1,,2016
Personal,1,,2016
Personal,3,,2016
Personal,1,,2016
Personal,1,,2016
Personal,2,,2016
Personal,2,,2016
Personal,1,,2016
Personal,2,,2016
Personal,1,,2016
Aerial Application,1,,2016
Personal,2,,2016
Personal,1,,2016
Personal,4,,2016
Aerial Application,1,,2016
Personal,1,,2016
Personal,1,,2016
,4,,2016
Aerial Application,1,,2016
Business,16,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Aerial Observation,1,,2016
Personal,2,,2016
Flight Test,1,,2016
Personal,1,,2016
Personal,1,,2016
Aerial Application,1,,2016
Instructional,1,,2016
Personal,6,,2016
Personal,1,,2016
Personal,6,,2016
Aerial Application,1,,2016
Aerial Application,1,,2016
Personal,1,,2016
Business,2,,2016
Personal,1,,2016
Air Race show,1,,2016
Personal,2,,2016
Other Work Use,2,,2016
Business,2,,2016
Personal,1,,2016
,5,,2016
Personal,2,,2016
Personal,2,,2016
Personal,1,,2016
Personal,2,,2016
Flight Test,3,,2016
Personal,3,,2016
Personal,1,,2016
Personal,1,,2016
Personal,3,,2016
Personal,2,,2016
Aerial Application,1,,2016
Personal,3,,2016
Personal,2,,2016
Personal,2,,2016
Personal,3,,2016
Personal,2,,2016
Personal,1,,2016
Personal,1,,2016
,3,,2016
Instructional,1,,2016
Personal,2,,2016
Instructional,1,,2016
Skydiving,1,,2016
Personal,1,,2016
Personal,2,,2016
Personal,3,,2016
Personal,1,,2016
Personal,2,,2016
Personal,2,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Flight Test,1,,2016
Instructional,2,,2016
Ferry,1,,2016
Personal,2,,2016
Personal,2,,2016
Personal,1,,2016
,4,,2016
Personal,1,,2016
Personal,1,,2016
Personal,1,,2016
Other Work Use,1,,2016
Personal,1,,2016
,1,,2016
Personal,1,,2016
Personal,1,,2016
Public Aircraft - Federal,1,,2016
Personal,4,,2016
Personal,1,,2016
,1,,2016
Personal,2,,2016
Personal,1,,2016
Personal,2,,2016
Personal,3,,2016
Personal,2,,2016
Personal,4,,2016
Personal,6,,2016
Personal,3,,2016
Personal,4,,2016
Personal,3,,2016
Personal,4,,2017
Personal,1,,2017
Aerial Observation,2,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Aerial Observation,1,,2017
,1,,2017
Instructional,1,,2017
Personal,3,,2017
Personal,2,,2017
Personal,1,,2017
Instructional,2,,2017
Personal,1,,2017
Instructional,1,,2017
Instructional,2,,2017
Personal,3,,2017
Instructional,2,,2017
Positioning,1,,2017
Personal,4,,2017
Personal,1,,2017
Personal,1,,2017
Instructional,2,,2017
Personal,1,,2017
Flight Test,1,,2017
Personal,1,,2017
Personal,1,,2017
EXLD,1,,2017
Personal,1,,2017
Aerial Application,1,,2017
Personal,1,,2017
Personal,1,,2017
Business,1,,2017
Personal,4,,2017
Personal,1,,2017
Personal,2,,2017
Personal,2,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,4,,2017
Instructional,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,4,,2017
Personal,2,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
Flight Test,1,,2017
Personal,1,,2017
Aerial Application,1,,2017
,3,,2017
Instructional,2,,2017
,1,,2017
,1,,2017
Personal,1,,2017
,2,,2017
Personal,1,,2017
Business,2,,2017
Personal,2,,2017
Personal,1,,2017
Positioning,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Personal,2,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Instructional,1,,2017
Personal,1,,2017
,1,,2017
Business,1,,2017
Personal,2,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Aerial Application,1,,2017
Personal,1,,2017
Personal,6,,2017
Personal,4,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Aerial Application,1,,2017
Personal,2,,2017
Personal,1,,2017
Business,2,,2017
Instructional,2,,2017
Personal,2,,2017
Personal,1,,2017
Instructional,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Business,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,4,,2017
,1,,2017
Personal,2,,2017
Personal,2,,2017
Personal,4,,2017
Personal,2,,2017
Personal,1,,2017
Instructional,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
Instructional,1,,2017
Public Aircraft - State,2,,2017
Aerial Application,1,,2017
Instructional,1,,2017
Personal,1,,2017
Aerial Application,1,,2017
Personal,1,,2017
Personal,1,,2017
Business,3,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
,4,,2017
Personal,2,,2017
Personal,2,,2017
Personal,2,,2017
Personal,4,,2017
Business,1,,2017
Personal,2,,2017
Personal,1,,2017
Personal,2,,2017
Personal,3,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Instructional,1,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
GLDT,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Instructional,2,,2017
Personal,1,,2017
Instructional,2,,2017
Personal,1,,2017
Instructional,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Instructional,2,,2017
Personal,4,,2017
EXLD,2,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
Personal,4,,2017
,3,,2017
Personal,1,,2017
Other Work Use,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Instructional,3,,2017
Personal,2,,2017
Personal,1,,2017
Personal,2,,2017
Personal,1,,2017
Personal,3,,2017
Personal,2,,2017
Personal,1,,2017
Personal,1,,2017
Personal,1,,2017
Personal,5,,2017
Personal,2,,2017
Personal,1,,2018
Positioning,1,,2018
Aerial Observation,2,,2018
Personal,5,,2018
Personal,1,,2018
Personal,1,,2018
Other Work Use,1,,2018
Ferry,1,,2018
Personal,1,,2018
Personal,3,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
,5,,2018
Personal,4,,2018
Personal,1,,2018
Personal,2,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,4,,2018
Business,3,,2018
Personal,2,,2018
Personal,1,,2018
Aerial Application,1,,2018
Personal,2,,2018
Personal,2,,2018
Personal,1,,2018
Personal,2,,2018
Other Work Use,5,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
Personal,1,,2018
Aerial Application,1,,2018
Personal,1,,2018
Personal,2,,2018
Personal,2,,2018
Personal,2,,2018
Personal,1,,2018
Instructional,2,,2018
Personal,1,,2018
Other Work Use,2,,2018
Personal,6,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
Instructional,2,,2018
Personal,1,,2018
,1,,2018
Personal,2,,2018
Personal,1,,2018
Personal,2,,2018
Personal,2,,2018
Positioning,3,,2018
Instructional,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
Instructional,1,,2018
Instructional,3,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
EXLD,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Business,1,,2018
Personal,2,,2018
Personal,2,,2018
Personal,1,,2018
Aerial Application,1,,2018
Business,1,,2018
Personal,2,,2018
Air Race show,1,,2018
Personal,4,,2018
Personal,1,,2018
,1,,2018
Personal,2,,2018
Business,2,,2018
Personal,4,,2018
Positioning,2,,2018
Personal,1,,2018
Personal,2,,2018
Aerial Observation,2,,2018
Aerial Application,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
Personal,2,,2018
Personal,2,,2018
BANT,1,,2018
Aerial Observation,1,,2018
Personal,1,,2018
Personal,1,,2018
Other Work Use,1,,2018
Personal,1,,2018
Personal,1,,2018
Aerial Application,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Aerial Application,1,,2018
Personal,1,,2018
Personal,1,,2018
Instructional,3,,2018
Personal,2,,2018
Personal,2,,2018
Instructional,4,,2018
Aerial Observation,1,,2018
,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
Personal,1,,2018
Personal,2,,2018
Personal,1,,2018
Personal,3,,2018
Personal,2,,2018
Business,1,,2018
BANT,2,,2018
Personal,5,,2018
Business,5,,2018
,5,,2018
Personal,1,,2018
Personal,2,,2018
,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
Aerial Application,1,,2018
Personal,2,,2018
Personal,2,,2018
Instructional,2,,2018
Instructional,2,,2018
Personal,1,,2018
Skydiving,4,,2018
Personal,1,,2018
Instructional,1,,2018
Personal,1,,2018
Personal,1,,2018
Aerial Observation,3,,2018
Personal,4,,2018
Personal,2,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
Other Work Use,1,,2018
Personal,1,,2018
Personal,1,,2018
Business,1,,2018
Personal,2,,2018
Personal,1,,2018
Personal,1,,2018
Personal,2,,2018
Personal,2,,2018
Personal,1,,2018
Personal,2,,2018
Personal,2,,2018
,1,,2018
Business,1,,2018
Personal,1,,2018
,2,,2018
Personal,3,,2018
Personal,1,,2018
Personal,3,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Air Race show,1,,2018
Aerial Application,1,,2018
Personal,2,,2018
Personal,1,,2018
Instructional,3,,2018
Personal,2,,2018
Personal,2,,2018
Instructional,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,5,,2018
Aerial Observation,1,,2018
Personal,2,,2018
EXLD,2,,2018
EXLD,1,,2018
Personal,1,,2018
Personal,2,,2018
Personal,3,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,4,,2018
Personal,2,,2018
Personal,2,,2018
Positioning,2,,2018
Personal,2,,2018
Instructional,1,,2018
Instructional,1,,2018
Personal,2,,2018
Positioning,3,,2018
Positioning,1,,2018
Personal,1,,2018
Personal,1,,2018
Business,3,,2018
Personal,2,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2018
Personal,3,,2018
Personal,2,,2018
Personal,4,,2018
Instructional,1,,2018
Personal,2,,2018
Personal,1,,2018
Personal,1,,2018
Personal,1,,2019
Personal,2,,2019
Personal,2,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Positioning,2,,2019
Other Work Use,1,,2019
Personal,1,,2019
,3,,2019
Personal,1,,2019
Business,3,,2019
Personal,1,,2019
Personal,2,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,2,,2019
Personal,1,,2019
Personal,2,,2019
Personal,2,,2019
Business,3,,2019
Personal,1,,2019
Instructional,1,,2019
Instructional,2,,2019
,3,,2019
Personal,2,,2019
BANT,1,,2019
Personal,3,,2019
Instructional,1,,2019
EXLD,1,,2019
Personal,1,,2019
Personal,1,,2019
EXLD,1,,2019
Unknown,5,,2019
Personal,4,,2019
,2,,2019
Aerial Observation,1,,2019
Personal,1,,2019
Instructional,1,,2019
Personal,1,,2019
Personal,1,,2019
Business,1,,2019
Personal,2,,2019
Flight Test,1,,2019
Public Aircraft - Federal,1,,2019
Personal,1,,2019
Instructional,2,,2019
Aerial Application,1,,2019
Personal,1,,2019
Personal,3,,2019
Flight Test,2,,2019
Personal,2,,2019
Personal,1,,2019
Personal,2,,2019
Personal,1,,2019
Business,6,,2019
Personal,1,,2019
Personal,2,,2019
Instructional,2,,2019
Personal,2,,2019
,3,,2019
Personal,2,,2019
Personal,1,,2019
Personal,1,,2019
Personal,2,,2019
Personal,2,,2019
Personal,1,,2019
Instructional,1,,2019
Personal,1,,2019
Business,1,,2019
Aerial Application,1,,2019
Personal,1,,2019
Personal,1,,2019
Business,2,,2019
,6,,2019
Aerial Application,2,,2019
Personal,1,,2019
Ferry,1,,2019
Personal,2,,2019
Personal,1,,2019
Personal,1,,2019
,2,,2019
Personal,1,,2019
Personal,2,,2019
Positioning,1,,2019
Personal,2,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Other Work Use,3,,2019
Personal,1,,2019
Personal,4,,2019
Personal,2,,2019
Flight Test,1,,2019
Personal,1,,2019
Personal,1,,2019
Executive/corporate,1,,2019
Personal,2,,2019
Personal,2,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,2,,2019
Personal,3,,2019
Skydiving,11,,2019
Personal,1,,2019
Instructional,2,,2019
Personal,1,,2019
Unknown,1,,2019
,2,,2019
Personal,1,,2019
Personal,3,,2019
Personal,1,,2019
Personal,1,,2019
Personal,10,,2019
Personal,2,,2019
Personal,2,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Instructional,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Personal,1,,2019
Instructional,1,,2019
GLDT,1,,2019
,1,,2019
Personal,2,,2019
Personal,3,,2019
Instructional,2,,2019
Personal,1,,2019
Flight Test,1,,2019
Personal,4,,2019
Business,2,,2019
Personal,1,,2019
Personal,2,,2019
Positioning,1,,2019
Personal,3,,2019
Personal,1,,2019
Personal,2,,2019
Personal,2,,2019
Personal,1,,2019
Personal,1,,2019
Personal,2,,2019
Personal,1,,2019
Instructional,2,,2019
Personal,1,,2019
Personal,1,,2019
Aerial Application,1,,2019
Personal,2,,2019
Personal,1,,2019
